!	AVD;NA;CARDA;ADJA;APPR;--;DIA;FM
!?	VMFIN;PPER;PG;VAFIN;VVPP;VVFIN
%.kleidet	VVIMP
*fmagister	NA
*lezzeste	AVD
*sire	NA
--	PW;CARDA;ADJD;DIS;ADJA;CARDS;KON;VVIMP;CARDN;AVD-KO*;$_;VMFIN;KOUS;DPOSA;NA;AVD;ADJS;DIN;VVFIN;APPR;KO*;DIA;VVINF;VVPP;PTKNEG;NE;FM;ITJ;ADJN;AVW;--
13	FM
17	FM
1gienc	VVIMP
2	FM
21	FM
3	FM
4	FM
7	FM
8	FM
9putare	FM
Aache	NE
Aagremuntîn	NE
Aaron	NE
Aarone	NE
Aarones	NE
Aaronis	NE
Abane	NE
Abanes	NE
Abbach	NE
Abdenago	NE
Abdirus	NE
Abdon	FM
Abel	NE
Abele	NE
Abelen	NE
Abeles	NE
Abeln	NE
Abenberc	NE
Abensberc	NE
Abensere	NA
Abensære	NA
Abentberc	NE
Abia	NE
Abiam	NE
Abiatar	NE
Abiathar	NE
Abibon	NE
Abidan	NE
Abiezar	NE
Abigea	NE
Abilene	NE
Abimelech	NE
Abira	NE
Abiram	NE
Abiron	NE
Abisac	NE
Abiut	NE
Abneren	NE
Abra	NE
Abraham	NE
Abrahame	NE
Abrahamen	NE
Abrahames	NE
Abrahe	NE
Abrahê	NE
Abram	NE
Absalon	NE
Absalone	NE
Absalonem	NE
Absalones	NE
Absaloni	NE
Absolone	NE
Absterne	NE
Abyron	NE
Abysay	NE
Abysse	NE
Abêle	NE
Acastis	NE
Acastum	NE
Acastus	NE
Acastô	NE
Accommodum	NE
Accommodus	NE
Accommodô	NE
Achaia	NE
Achaiam	NE;FM
Achais	NE
Achamas	NE
Achatius	NE
Achaz	NE
Achdorf	NE
Achdorfær	NA
Ache	NE
Acheldemach	NE
Achen	NE
Achene	NE
Acheron	NE
Acherontia	NE
Achille	NE
Achillem	NE
Achillen	NE
Achilles	NE
Achillese	NE
Achilleus	NE
Achilli	NE
Achillis	NE
Achim	NE
Achior	NE
Achreine	--
Aciâ	NE
Ackemac	NE
Adalrôt	NE
Adam	NE
Adames	NE
Addi	NE
Adelber	NE
Adelbern	NE
Adelbolt	NE
Adelbreht	NE
Adelgêr	NE
Adelgêre	NE
Adelgôze	NE
Adelhart	NE
Adelheide	NE
Adelheit	NE
Adelheite	NE
Adelheiten	NE
Adelnhûsen	NE
Adeodatum	NE
Admont	NE
Adolv	NE
Adolve	NE
Adolves	NE
Adonai	NE
Adonato	NE
Adonay	NE
Adonei	NE
Adonias	NE
Adoniase	NE
Adonibesech	NE
Adonis	NE
Adrastus	NE
Adrianus	NE
Adrianô	NE
Adriaticum	NE
Adriânes	NE
Adromacha	NE
Adromacham	NE
Adâm	NE
Adâme	NE
Adâmen	NE
Adâmes	NE
Adân	NE
Aegeas	NE
Aegidie	NE
Aegidius	NE
Aegyptii	NA
Aegypto	NE
Aegyptum	NE
Aegyptô	NE
Aemiliî	NE
Aethiopiam	NE
Aetium	NE
Aetius	NE
Aetiô	NE
Afen	NE
Affanes	NE
Affenzagel	NE
Afra	NE
Afrae	NE
Afram	NE
Afren	NE
Africa	NE
Africam	NE
Afrika	NE
Afrikân	NA
Afrikære	NA
Afrn	NE
Agamemno	NE
Agapae	NE
Agapitum	NE
Agapitus	NE
Agapitî	NE
Agar	NE
Agarenes	NE
Agarraîn	NE
Agatae	NE
Agatha	NE
Agathen	NE
Agest	NE
Aggenbach	NE
Agne	NE
Agnen	NE
Agnes	NE
Agnese	NE
Agnesen	NE
Agnet	NE
Agneta	NE
Agnete	NE
Agneten	NE
Agnetis	NE
Agnise	NE
Agnê	NE
Agnête	NE
Agnêten	NE
Agomennon	NE
Agomennone	NE
Agomennonis	NE
Agomennonê	NE
Agomennonî	NE
Agon	NE
Agravens	NE
Agrentîn	NE
Agreste	NE
Agrestê	NE
Agrippa	NE
Agrippen	NE
Agrippina	NE
Ahap	NE
Aheim	NE
Ahimelech	NE
Ahtelsbach	NE
Aindorf	NE
Ainmirat	NE
Aiune	NE
Aiuno	NE
Aiunoe	NE
Ajacem	NE
Ajacis	NE
Ajacê	NE
Ajax	NE
Ajaxe	NE
Ajaxen	NE
Ajâze	NE
Ajûne	NE
Aken	NE
Akers	NE
Alagrevîe	NE
Alan	NE
Alandes	NE
Alania	NE
Alaricum	NE
Alaricus	NE
Alaricô	NE
Albana	NE
Albane	NE
Albanes	NE
Albani	NE
Albania	NE
Albanus	NE
Alber	NE
Alberen	NE
Albern	NE
Albers	NE
Albertch	NE
Alberîch	NE
Albonie	NE
Albranden	NE
Albreht	NE
Albrehte	NE
Albrehten	NE
Albrehtes	NE
Albrehts	NE
Alcamum	NE
Alcamus	NE
Alchamus	NE
Alchimus	NE
Alchimô	NE
Alco	NE
Alda	NE
Aldarot	NE
Alden	NE
Aleberten	NE
Aleide	NE
Aleit	NE
Aleken	NE
Alemandînen	NE
Alemanne	NE
Alemannia	NE
Alemanniam	NE
Alemannî	NE
Alerie	NE
Alexander	NE
Alexandere	NE
Alexanderen	NE
Alexanderes	NE
Alexandern	NE
Alexanders	NE
Alexandre	NE
Alexandri	NE
Alexandria	NE
Alexandriae	NE
Alexandriam	NE
Alexandris	NE
Alexandriê	NE
Alexandrum	NE
Alexandrî	NE
Alexandrîe	NE
Alexandrô	NE
Alf	NE
Alfabîn	NE
Alfabînen	NE
Alfatones	NE
Alfenor	NE
Alfeî	NE
Alfric	NE
Alfricken	NE
Alftere	NE
Alfteren	NE
Algaphiles	NE
Algarich	NE
Algasiles	NE
Algeshûsen	NE
Alheide	NE
Alibata	NE
Alimus	NE
Alinus	NE
Alischanz	NE
Alise	NE
Alisen	NE
Alktebele	NE
Alktebeles	NE
Allecto	NE
Almachî	FM
Almadian	NE
Almanne	NA
Almarie	NE
Almenia	NE
Almeriê	NE
Almers	NE
Almerîch	NE
Almice	NE
Almânje	NE
Aloes	NE
Alpershover	NE
Alphart	NE
Alpharten	NE
Alpheim	NE
Alpheus	NE
Alpheî	NE
Alprîch	NE
Alprîche	NE
Alprîchen	NE
Alrich	NE
Alrîch	NE
Alrôten	NE
Alsnac	NE
Alsnacke	NE
Alte	NE
Alteclêre	NE
Alteclêren	NE
Altegunde	FM
Altena	NE
Altenberc	NE
Altenburc	NE
Altenmünster	NE
Altensdorf	NE
Alteon	NE
Alteonen	NE
Alteonis	NE
Alterot	NE
Altheim	NE
Altissimus	NE
Altvil	NA
Alv	NE
Alve	NE
Alzei	NE
Alzeie	NE
Alzeier	NA
Alzna	NE
Amalachiten	NA
Amalech	NE
Amaleches	NE
Amalfi	NE
Amana	NE
Amanas	NE
Amandi	FM
Amarezur	NE
Amasa	NE
Amazones	NA;NE
Amazonia	NE
Amazonienlande	NE
Ambesser	NE
Ambrosien	NE
Ambrosii	NE
Ambrosis	NE
Ambrosius	NE
Amelgêr	NE
Amelgêre	NE
Amelgêren	NE
Amelgêres	NE
Amelolt	NE
Amelolten	NE
Amelrîch	NE
Amelrîche	NE
Amelunc	NE
Amelunge	NA
Amelungen	NA
Amelunges	NE
Amelîe	NE
Amelîen	NE
Amelôt	NE
Amelôte	NE
Amenta	NE
Aminadap	NE
Amman	NA
Amminadap	NE
Amminadapes	NE
Ammirat	NE
Ammon	NE
Ammoneten	NA
Ammonii	FM
Ammonis	FM
Ammonite	NE
Amon	NE
Amone	NE
Amones	NE
Amonis	NE
Amoreô	NE
Amorreô	NE
Amos	NE
Ampelgart	NE
Amperingen	NA
Ampflîse	NE
Amphimacô	NE
Ampregalt	NE
Amram	NE
Amur	NE
Amurafel	NE
Amîse	NE
Ananiae	NE
Ananiam	NE
Ananias	NE
Ananiê	NE
Anastasiae	NE
Anastasii	NE
Anastasio*	NE
Anastasium	NE
Anastasius	NE
Anastasiî	NE
Anatholia	NE
Anatholiae	NE
Anatole	NE
Anchillen	NE
Anchilles	NE
Anchises	NE
Andel	NE
Andelin	NE
Andenor	NE
Andenore	NE
Andenorem	NE
Andenori	NE
Andenoridas	NE
Andenoris	NE
Andernache	NE
Andernacher	NA
Andrea	NE
Andreae	NE
Andream	NE
Andreas	NE
Andrease	NE
Andrei	NE
Andres	NE
Andriese	NE
Andriâ	NE
Androcheum	NE
Androinem	NE
Androines	NE
Andromacha	NE
Andromache	NE
Andromachen	NE
Andromachê	NE
Andronicus	NE
Andrê	NE
Andrômacha	NE
Anech	NE
Aneschouwe	NE
Anfimachum	NE
Anfimachô	NE
Anfimacus	NE
Anfortas	NE
Anfortasen	NE
Angnes	NE
Angnesen	NE
Anguli	FM
Anhoch	NE
Ankône	NE
Anna	NE
Annam	NE
Annas	NE
Anne	NE
Annen	NE
Anno	NE
Anphimachus	NE
Anphimacus	NE
Anphimacô	NE
Anphyon	NE
Anschevîn	NA
Anschouwe	NE
Anseis	NE
Anselm	NE
Anselme	NE
Anselmes	NE
Anselmus	NE
Ansem	NE
Anseîs	NE
Ansgir	NE
Ansgis	NE
Anshelm	NE
Antenor	NE
Anteros	FM
Anthenor	NE
Anthenorem	NE
Anthichêum	NE
Antholiam	NE
Anthomus	NE
Anthonius	NE
Antichrist	NE
Antichriste	NE
Antichristes	NE
Antichristum	NE
Antichristus	NE
Antichristî	NE
Antides	NE
Antigones	NE
Antigonus	NE
Antilocum	NE
Antilocus	NE
Antilocô	NE
Antioch	NE
Antiochae	NE
Antioche	NE
Antiochia	NE
Antiochiam	NE
Antiochum	NE
Antiochus	NE
Antiochî	NE
Antiochô	NE
Antipater	NE
Antipaters	NE
Antipus	NE
Antoir	NE
Antonia	NE
Antoniel	NE
Antonien	NE
Antonii	NE
Antonini	NE
Antoninô	NE
Antonio	NE
Antonium	NE
Antonius	NE
Antoniî	NE
Antoniô	NE
Antwerp	NE
Anubion	NE
Anze	NE
Anîse	NE
Aonie	NE
Apamiam	NE
Apemen	NE
Apia	NE
Apokalipsi	NE
Apolde	NE
Apolle	NE
Apollen	NE
Apollinarem	NE
Apollinaris	NE
Apollini	NE
Apollo	NE
Apolloen	NE
Apollonia	NE
Apollonium	NE
Apollonius	NE
Apollonî	NE
Apollô	NE
Apoloniae	NE
Appamena	NE
Appenheimær	NA
Appenheimærs	NA
Appenninî	NE
Appia	NE
Appollinart	NE
Appulia	NE
Appuliê	NE
Aprilis	NE
Apuliam	NE
Apûlîâ	NE
Aquila	NE
Aquilae	NE
Aquileia	NE
Arabate	NA
Arabel	NE
Arabes	NA
Arabia	NE
Arabite	NA
Arable	NE
Arabs	NE
Arabî	NE
Arabîa	NE
Arabîen	NE
Arabîes	NE
Arabîn	NE
Arabîten	NE
Aram	NE
Aramathia	NE
Arantum	NE
Ararach	NE
Ararat	NE
Ararât	NE
Aras	NE
Arator	NE
Arbas	NE
Arbazan	NE
Arberc	NE
Arbeê	NE
Arcadium	NE
Archamacha	NE
Archelaus	NE
Archilaum	NE
Archilaus	NE
Archilaô	NE
Archilogus	NE
Are	NE
Arenolv	NE
Arenstein	NE
Arenvels	NE
Aresse	NE
Aretusa	NE
Arewîlre	NE
Arfaxat	NE
Argentina	NE
Argeî	NE
Argunen	NE
Argus	NE
Arguwen	NE
Arialt	NE
Arides	NE
Arimathia	NE
Arimespe	NE
Arinthos	NE
Arioch	NE
Ariotch	NE
Arisan	NE
Arisban	NE
Aristarchî	NE
Aristoteles	NE
Aristotelis	NE
Aristotelî	NE
Arius	NE
Arkadia	NE
Arkadius	NE
Arkas	NE
Arl	NE
Armenia	NE
Armeniae	NE
Armeniam	NE
Armenie	NE
Armenien	NE
Armenienlant	NE
Armenieren	NA
Armenius	NE
Armeniâ	NE
Armeniê	NE
Armleder	NE
Armodius	NE
Arn	NE
Arnesberc	NE
Arnolde	NE
Arnolden	NE
Arnoldes	NE
Arnoldeshân	NE
Arnolf	NE
Arnolt	NE
Arnstein	NE
Arnstete	NE
Arnuale	NE
Arnulfi	NE
Arphaxat	NE
Arpoin	NE
Arpon	NE
Arra	NE
Arragûn	NE
Arragûneise	NA
Arraz	NE
Arriani	NA
Arrîum	NE
Arrîus	NE
Arrîô	NE
Arsaces	NE
Arsburc	NE
Arscheit	NE
Arseniî	NE
Artaxersen	NE
Artaxerses	NE
Arthan	NE
Artus	NE
Artûs	NE
Artûse	NE
Artûsen	NE
Arundêl	NE
Arundêle	NE
Arvelle	NE
Arweizgazzen	NE
Arwîlere	NE
Arysse	NE
Arîolus	NE
Arîse	NE
Arôêl	NE
Asa	NE
Asarias	NE
Asarie	NE
Asbach	NE
Ascalafus	NE
Aschaffenburc	NE
Aschalafer	NE
Aschalafus	NE
Aschalaphus	NE
Aschalbaies	NE
Aschalofius	NE
Aschalon	NE
Aschalophus	NE
Aschalosius	NE
Ascheimer	NE
Aser	NE
Aseres	NE
Ashûsen	NE
Asia	NE
Asiam	NE
Aspele	NE
Aspriân	NE
Aspriâne	NE
Aspriânen	NE
Aspriânes	NE
Assandrus	NE
Assandrô	NE
Asser	NE
Asseres	NE
Assiria	NE
Assueus	NE
Assur	NE
Assures	NE
Assyria	NE
Assyriorum	NA
Astarot	NE
Astolt	NE
Astrolâbîus	NE
Aternandes	NE
Athenas	NE
Athâliâ	NE
Athêne	NE
Athênâs	NE
Athîs	NE
Athîse	NE
Athîsen	NE
Athîses	NE
Atlas	NE
Atrenbiuren	NE
Atschier	NE
Attental	NE
Attika	NE
Atto	NE
Atus	NE
Atô	NE
Aucheim	NE
Audifax	NE
Augee	NE
Augermort	NE
Augsburc	NE
Augsburger	NA
Augsburgere	NA
Augsburgern	NA
Augsburgær	NA
Augusta	NE
Augusti	NE
Augustin	NE
Augustini	NE
Augustinus	NE
Augustinô	NE
Augusto	NE;FM
Augustum	NE
Augustus	NA;NE
Augustî	NE
Augustîn	NE
Augustînes	NE
Augustô	NE
Aunân	NE
Aurach	NE
Aurelianô	NE
Auster	NE
Austri	NE
Ava	NE
Avalon	NE
Aven	NE
Avenia	NE
Avens	NE
Avenîs	NE
Avestroit mâvoiê	NE
Avignione	NE
Aviti	NE
Avitî	NE
Azagouc	NE
Azariae	NE
Azariam	NE
Azarias	NE
Azariê	NE
Azarîas	NE
Azoma	NE
Azomenlande	NE
Azonis	NE
Azor	NE
Azota	NE
Azzenberc	NE
Babenberc	NE
Babenberge	NE
Babillî	NE
Babilonia	NE
Babilonie	NE
Babiloniene	NE
Babiloniê	NE
Babilô	NE
Babilôn	NA;NE
Babilône	NA;NE
Babilônes	NE
Babilôni	NE
Babilônia	NE
Babilôniae	NE
Babilôniam	NE
Babilônie	NE
Babilôniee	NE
Babilônien	NE
Babilônis	NE
Babilôniær	NA
Babilôniê	NE
Babtista	NE
Babylonie	NE
Bacchide	NE
Bacchides	NE
Bacherach	NE
Bacherache	NE
Bacherachen	NE
Bachheim	NE
Baden	NE
Badenheimær	NE
Baduwiers	NE
Baer	NE
Baerleich	--
Baerleiche	--
Baierlant	NE
Baktria	NE
Bala	NE
Balaam	NE
Balaamen	NE
Balaames	NE
Balac	NE
Balach	NE
Baldegundis	FM
Baldeman	NE
Baldenwec	NE
Balder	NE
Baldeshûsen	NE
Baldewin	NE
Baldewîn	NE
Baldewîne	NE
Baldewînen	NE
Baldewînes	NE
Baldingen	NA
Balgares	NE
Balgeheim	NE
Balmunc	--
Balmungen	--
Baltasar	NE
Baltram	NE
Balziel	NE
Bamberc	NE
Banaa	NE
Banaias	NE
Bananias	NE
Baptista	NE
Baptistae	NA
Baptistam	NA
Baptiste	NE
Baptisten	NE
Barachias	NE
Barachielem	NE
Barachien	NE
Barathrum	NE
Barbara	NE
Barbaras	NE
Barbaren	NE
Barbigoel	NE
Bardi	NE
Bardo	NE
Bari	NE
Bariona	NE
Barnaban	NE
Barnabas	NE
Barnabases	NE
Barnabê	NE
Barnola	NE
Barrabam	NE
Barraban	NE
Barrabas	NE
Barrabân	NE
Bart	NE
Barthimeus	NE
Bartholomei	NE
Bartholomeis	NE
Bartholomeo	NE
Bartholomeum	NE
Bartholomeus	NE
Bartholomeuse	NE
Bartholomeî	NE
Bartholomeîs	NE
Basan	NE
Basanzi	NE
Basel	NE
Basele	NE
Baselær	NA
Bashan	NE
Basile	NE
Basiliani	FM
Basilica	NE
Basilicae	NE
Basilides	NE
Basilien	NE
Basilii	NE
Basilistium	NE
Basilâ	NE
Bassenheim	NE
Bassi	FM
Bassus	NE
Basîlîus	NE
Basîlîô	NE
Batram	NE
Batrâ	NE
Batrân	NE
Batuel	NE
Batulus	NE
Bazanza	NE
Bazzouwe	NE
Beatrise	NE
Beatrix	NE
Beatusberge	NE
Bebilin	NE
Bechelen	NE
Becheli	NE
Bechelâren	NE
Bechelær	NA
Beda	NE
Bedbure	NE
Beginc	NE
Begozzenbrôtes	NE
Beien	NE
Beiene	NE
Beier	NA;NE
Beiere	NA;NE
Beieren	NA;NE
Beierenen	NE
Beierlande	NE
Beierlant	NE
Beiern	NA;NE
Beierriut	NE
Beiginc	NE
Beire	NA
Beiren	NE
Beirlant	NE
Beitscher	NE
Belacâne	NE
Belata	NE
Beldersheim	NE
Beler	NE
Belgeren	NE
Belial	NE
Bellowîs	NE
Belma	NE
Belmunt	NE
Belzebup	NE
Belîn	NE
Belînen	NE
Beme	NE
Benbach	NE
Bende	--
Bendîn	NE
Benedicte	NE
Benedicten	NE
Benedicti	NE
Benedictus	NE
Benedikten	NE
Benediktus	NE
Benesises	NE
Benevende	NE
Benevente	NE
Beneventum	NE
Beneventân	NE
Bengelers	NE
Benignen	NE
Benignî	NE
Benjamin	NE
Benjamines	NE
Benjamîn	NE
Benjamînes	NE
Benomin	NE
Bent	--
Berc	NE
Bercheim	NE
Bercheime	NE
Berchoven	NE
Berchûsen	NE
Bercouwe	NE
Berenbach	NE
Berendorf	NE
Berengêr	NE
Bereniken	NE
Berewart	NE
Berge	NE
Bergelîn	NE
Berglern	NE
Berhertîn	NE
Berht	NE
Berhte	NE
Berhten	NE
Berhter	NE
Berhtere	NE
Berhteren	NE
Berhther	NE
Berhtolt	NE
Berhtolte	NE
Berhtolten	NE
Berhtoltes	NE
Berhtolvesheim	NE
Berhtram	NE
Berhtris	NE
Berien	NE
Berihtum	NE
Berika	NE
Beringer	NE
Beringeres	NE
Beringêr	NE
Beringêren	NE
Berke	NE
Bermunt	NE
Bernandes	NE
Bernant	NE
Berne	NE
Bernen	NE
Berner	NA
Bernger	NE
Berngêr	NE
Bernhardus	NE
Bernhart	NE
Bernharte	NE
Bernharten	NE
Bernhartes	NE
Bernhartesdorf	NE
Bernhartus	NE
Bernkastel	NE
Bernkoven	NE
Bernlape	NE
Bernlapen	NE
Bernlapes	NE
Bernsole	NE
Bernær	NA
Bernære	NA
Bernærs	NA
Bersabê	NE
Berte	NE
Bertenoise	NA
Berthe	NE
Berthen	NE
Bertholden	NE
Bertholt	NE
Bertin	NE
Bertolt	NE
Bertolv	NE
Bertramen	NE
Bertschi	NE
Bertûn	NA
Berwaris	NE
Beschen	NE
Besech	NE
Beselehel	NE
Besolt	NE
Besselich	NE
Betaniae	NE
Betebûre	NE
Bethani	NE
Bethania	NE
Bethaniae	NE
Bethaniam	NE
Bethaniam*	NE
Bethel	NE
Bethleem	NE
Bethphage	NE
Bethsaida	NE
Bethulia	NE
Betica	NE
Betphage	NE
Betphagia	NE
Betphagie	NE
Betsaida	NE
Bettinchoven	NE
Betulien	NE
Biberbach	NE
Biblium	NE
Bickenbach	NE
Biengen	NE
Biengær	NA
Bienzevelt	NE
Bignot	NE
Bilibetes	NE
Bilisen	NE
Billunc	NE
Bilstein	NE
Binabel	NE
Binc	NE
Binderslouben	NE
Bingen	NE
Binisen	NE
Bintheim	NE
Binzbergær	NA
Binôse	NE
Bionîe	NE
Birgele	NE
Birgestat	NE
Birkeberc	NE
Birkedorf	NE
Birkedörfinnen	NE
Birkelîn	NE
Birkensdorf	NE
Birkensê	NE
Birkenvelt	NE
Birkenær	NE
Birresborn	NE
Birsche	NE
Birsmich	NE
Birzenacker	--
Bisantiam	NE
Bisantîâ	NE
Bischovesbach	NE
Bischovesheim	NE
Bisenzun	NE
Bisinzo	NE
Biteburc	NE
Biterne	NE
Biternere	NA
Biternære	NA
Biterunc	NE
Biterunge	NE
Biterungen	NE
Bithynia	NE
Bitrolf	NE
Bitterolf	NE
Bitterolfes	NE
Bitterolt	NE
Bittina	NE
Biunbach	NE
Biunten	--
Biuren	NE
Bizantium	NE
Bizaze	NE
Blach	--
Blankart	NE
Blankenberc	NE
Blankenheim	NE
Blankenrôt	NE
Blankenstein	NE
Blanklande	NE
Blanscandîz	NE
Blanschandiz	NE
Blanschandîz	NE
Blanschefliure	NE
Blanscheflûr	NE
Blanscheflûren	NE
Blanschemanîs	NE
Blanschemanîsen	NE
Blanzeflors	NE
Blanzeflôrs	NE
Blasien	NE
Blasii	NE
Blasius	NE
Blasî	NE
Blasîen	NE
Blaterer	NE
Bleiche	--
Blidenstat	NE
Blidenstein	NE
Bliuwelmaten	--
Bloedelîn	NE
Bluomenberc	NE
Bluomi	NE
Blâsien	NE
Blâsins	NE
Blôdel	NE
Blôdelen	NE
Bobarte	NE
Bobe	NE
Bobenberc	NE
Bocbarte	NE
Bodechen	NE
Bodem	NE
Bodemsê	NA;NE
Bodian	NE
Boehart	NE
Boemundes	NE
Boemunt	NE
Boetes	NE
Boetius	NE
Boeze	NE
Boimundes	NE
Boimunt	NE
Bolanden	NE
Bolchen	NE
Bollebecher	NE
Bolognê	NE
Bolonie	NE
Bomersheim	NE
Bomesheitis	NE
Bonaventure	NE
Bondorf	NE
Bonefar	NE
Bonifacii	NE
Bonifait	NE
Bonifaite	NE
Bonifaiten	NE
Bonifaites	NE
Bonifatien	NE
Bonifatium	NE
Bonifatius	NE
Bonifatiî	NE
Bonifazien	NE
Bonifazius	NE
Bonifaziô	NE
Bonoamese	NE
Bonosî	NE
Bonthart	NE
Bontharten	NE
Booz	NE
Bopfinger	NE
Bopparte	NE
Bopparten	NE
Boreas	NE
Bores	NE
Borhohe	NE
Born	NE
Borne	NE
Bosche	NE
Botelunges	NE
Botenbach	NE
Botina	NE
Botinê	NE
Bottenstein	NE
Bottestein	NE
Bottingen	NA
Boumbach	NE
Boumburc	NE
Boumelîn	--
Bove	NE
Boven	NE
Boze	NE
Bozel	NE
Bozele	NE
Bozen	NE
Brabant	NE
Brahmunt	NE
Brandanum	NE
Brandenberc	NE
Brandenburc	NE
Brandmeier	NE
Brandscheit	NE
Brangæne	NE
Brangænen	NE
Brasiacus	NE
Brechmunda	NE
Brechmundam	NE
Brechmundê	NE
Breckenheimer	NE
Breitbach	NE
Breitenbuoche	NE
Breitenstein	NE
Breitensteiner	NE
Breitenweidær	NA
Breitenweidæres	NA
Breiterote	NE
Breme	NE
Brendelîn	NE
Brendære	NE
Brenne	NE
Brennen	NE
Brennærs	NE
Bresburc	NE
Breziljân	NE
Briccien	NE
Brice	NE
Brichsen	NE
Brieschen	NE
Brigidae	FM
Brigiden	NE
Brimelære	NE
Brische	NE
Briseida	NE
Briseidam	NE
Briseiden	NE
Briseidâ	NE
Briseis	NE
Brises	NE
Brissân	NE
Brisîs	NE
Britanja	NE
Britanje	NE
Britanjenlant	NE
Britannia	NE
Britanniis	FM
Britanniâ	NE
Brittanne	NE
Britten	NA;NE
Brittune	NA
Britânien	NE
Britânin	NE
Britûne	NE
Britûnes	NE
Briuzel	NE
Broegelînes	NE
Brombecher	NA
Bronesberc	NE
Bruche	NE
Bruchhûsen	NE
Bruge	--
Brundosiô	NE
Brunnebach	NE
Bruoche	NE
Brâbande	NA
Brâbanden	NA
Brâbandes	NE
Brâbant	NE
Brâbantes	NE
Brâbantischer	NA
Brâchmânde	NE
Brâge	NE
Brêmunde	NE
Brîden	NE
Brînus	NE
Brîsach	NE
Brîsache	NE
Brîsgouwe	NE
Brîsgouwær	NA
Brîsgöuwe	NE
Brîsgöuwær	NA
Brîsgöuwære	NA
Brîsgöuwærinne	NA
Brîsiche	NE
Brîsinc	NE
Brîsingær	NA
Brîsingærinne	NA
Brôbarz	NE
Brögelin	NE
Brûbach	NE
Brûn	NE
Brûne	NE
Brûnen	NE
Brûnenberc	NE
Brûnes	NE
Brûnesberc	NE
Brûneshorn	NE
Brûneswic	NE
Brûneswîc	NE
Brûno	NE
Brûnwart	NE
Brûse	NE
Brûten	NE
Brü^ninc	NE
Brüele	--
Brüeler	NE
Brügcberc	NE
Brügcmeier	NE
Bubenheim	NE
Buch	NE
Bucival	NE
Bucivale	NE
Buckel	NE
Bucken	NE
Budelenberc	NE
Budelinge	NE
Budelingen	NA;NE
Buggenriuti	NE
Buggenriutines	NE
Buggingen	NA
Buize	NE
Bulenberc	NE
Bulgarie	NE
Bulgrî	NE
Bunne	NE
Bunnechen	NE
Bunnegöuwere	NA
Bunnen	NE
Bunnere	NA
Buntauge	NE
Buoch	NE
Buochen	NE
Buochheim	NE
Burchart	NE
Burcharte	NE
Burcharten	NE
Burchartes	NE
Burchûsen	NE
Burcouwe	NE
Bure	NE
Burgentrîche	NE
Burgesheim	NE
Burghart	NE
Burgharten	NE
Burghartes	NE
Burgonden	NA
Burgunden	NE
Burgunder	NA
Burgundere	NA
Burgundoise	NA
Burgundære	NA
Burgundîâ	NE
Burgô	NE
Burkardi	FM
Burne	NE
Burnenbach	NE
Burschît	NE
Burstendorf	NE
Buscher	NA
Busenberc	NE
Butifar	NE
Buzival	NE
Bysan	NE
Bysanze	NE
BÉrleiche	--
BÉzzingen	NA
BÉzzingær	NA
BÉzzingærs	NA
Bâbillus	FM
Bâre	NE
Bêalzenân	NE
Bêatrîcis	NE
Bêatrîs	NE
Bêatrîse	NE
Bêatrîsen	NE
Bêda	NE
Bêheim	NA;NE
Bêheime	NA;NE
Bêheimen	NA;NE
Bêheimes	NA
Bêheimlant	NE
Bêheimær	NA
Bêlær	NE
Bêrigen	NE
Bêthlehême	NE
Bêthlêhêm	NE
Bêthlêhême	NE
Bêthlêhêmen	NE
Bêthsaida	NE
Bêâcurs	NE
Bîchlingen	NA
Bîle	NE
Bîlstein	NE
Bîlâs	NE
Bîlâse	NE
Bîlâsen	NE
Bîlâses	NE
Bôlan	NE
Bôsdorf	NE
Bôzen	NE
Böckel	NE
Bölenhovær	NA
Bölenhoværs	NA
Bömunt	NE
Böschelîn	NE
Böschenbrüel	NE
Bûman	NE
Bûtîn	NE
Bürgetor	NE
Bürgi	NE
Bütericher	NE
Cacasus	NE
Cades	NE
Caefurna	NE
Caesare	FM
Caesarea	NE;FM
Caesareae	NE
Caesaream	NE
Caesaris	NE
Caffata	NE
Caforte	NE
Calabria	NE
Calabriam	NE
Calaria	NE
Calcas	NE
Calcedonie	NE
Calcedonienlande	NE
Caldea	NE
Calepch	NE
Calimachus	NE
Calipsa	NE
Calocerii	FM
Calpia	NE
Calvaria	NE
Calvariê	FM
Calzedonie	NE
Cambenic	NE
Camis	NE
Campaniae	FM
Campanie	NE
Cana	NE
Canaan	NE
Canaane	NE
Canaanes	NE
Cananea	NE
Cananeus	NE
Candacia	NE
Candacis	NE
Candaulis	NE
Candaulus	NE
Candaulô	NE
Candidae	NE
Canopea	NE
Canopum	NE
Canopus	NE
Cantipum	NE
Cantipus	NE
Cantipô	NE
Canzianî	NE
Capadie	NE
Capadocia	NE
Capadociae	NE
Capador	NE
Capadoria	NE
Capellen	NE
Capua	NE
Capuam	NE
Caracter	NE
Carbone	NE
Cardionem	NE
Cardiones	NE
Cardionesen	NE
Caria	NE
Caribdis	NE
Caricius	NE
Carmelus	NE
Carmelî	NE
Carmelô	NE
Carmetes	NE
Caspar	NE
Caspenporten	NE
Caspion	NE
Caspus	NE
Cassandra	NE
Cassandren	NE
Cassandrâ	NE
Cassian	NE
Cassianî	NE
Cassibilaus	NE
Castitatis	NE
Castor	NE
Castoren	NE
Castorê	NE
Castulae	FM
Castuli	NE
Catinus	NE
Cato	NE
